#PROBABILITY and AVG COST
0  69732.89
1  68783.00
2  68479.27
3  67003.08
4  65822.40
5  64955.33
6  65061.53
7  64581.53
8  64360.08
9  64129.70
10  63343.54
11  63337.95
12  62684.57
13  62048.48
14  61675.41
15  61719.57
16  61214.00
17  60670.30
18  60897.80
19  60852.39
20  61189.43
21  61098.03
22  60951.92
23  59974.35
24  59659.36
25  59245.28
26  58761.91
27  58301.37
28  58254.56
29  58339.25
30  57871.93
31  57359.68
32  57229.42
33  57588.82
34  57701.19
35  57794.73
36  57498.91
37  57360.03
38  57102.61
39  56117.40
40  56470.17
41  55476.06
42  54717.99
43  54311.57
44  54066.31
45  54329.32
46  54246.77
47  54434.51
48  53922.15
49  53950.22
50  54365.22
51  54042.43
52  53951.22
53  53176.87
54  53340.54
55  53382.28
56  52563.46
57  51947.28
58  52085.86
59  52010.98
60  51282.20
61  51337.42
62  50833.46
63  50755.16
64  50668.08
65  50713.31
66  50146.19
67  49874.64
68  49858.18
69  49291.97
70  49078.59
71  48822.98
72  48570.72
73  48756.85
74  47825.60
75  47790.21
76  47658.39
77  47487.72
78  47122.17
79  46898.42
80  46541.16
81  45885.38
82  45916.40
83  45685.97
84  45015.47
85  44765.54
86  44615.75
87  44428.27
88  44350.98
89  44093.71
90  43893.19
91  43816.68
92  43415.96
93  43130.77
94  42864.15
95  42422.45
96  42076.81
97  41753.90
98  41486.98
99  41039.61
100  40526.42
